wave,varname,source
2001,head_industry_code,ER17227
2001,head_occupation_code,ER17226
2001,spouse_industry_code,ER17797
2001,spouse_occupation_code,ER17796
2003,head_industry_code,ER21146
2003,head_occupation_code,ER21145
2003,spouse_industry_code,ER21396
2003,spouse_occupation_code,ER21395
